opp_ID,Statut,Opportunité,Image,Description de l'opportunité,Lien d'affiliation,ChroniqueURL
101,1,EarnApp,earnapp.jpg,"Plateforme de rémunération passive en partageant sa bande passante. Des offres de jeux et de sondages sont aussi disponibles.",https://earnapp.com/i/7nwzsfXT,
102,1,Traff Monetizer,traff.jpg,"Application sécurisée permettant de gagner de l'argent en partageant légalement votre trafic internet inutilisé. Il suffit de la télécharger, la sécurité étant leur priorité principale.",https://traffmonetizer.com/?aff=1584636,
103,1,HoneyGain,honeygain.jpg,"Première application permettant de gagner de l'argent en partageant votre connexion internet inutilisée. Il suffit de la télécharger sur votre appareil et elle fonctionne silencieusement en arrière-plan pendant que vous gagnez de l'argent.",https://join.honeygain.com/XRSCR5890E,
104,1,PawnsApp,pawns.jpg,"Application de partage de bande passante internet pour gagner de l'argent. Compatible avec ordinateurs et mobiles. Paiements rapides et sécurisés via PayPal.",https://pawns.app/?r=1808419,
105,1,Grass,grass.jpg,"Application offrant des récompenses passives, avec un tableau de bord permettant de suivre facilement vos gains, votre temps de connexion et vos parrainages.",https://app.grass.io/register?referralCode=uec2tGDHKOFPs4A,
106,1,CoinApp,coinapp.jpg,"Application mobile pour gagner des cryptomonnaies simplement en se déplaçant. Utilise la géolocalisation pour récompenser vos déplacements physiques et explorer la ville.",https://lecoq.cafe/CoinApp-101/,
107,1,WinWalk,winwalk.jpg,"Application de podomètre récompensant la marche. Convertis vos pas en points échangeables contre des cadeaux ou de l'argent. Idéal pour les piétons et joggers.",,
108,1,Tip Nano,tipnano.jpg,"Plateforme de cryptomonnaie permettant de récupérer gratuitement des nano. Les utilisateurs peuvent réclamer de petites quantités de nano via des captcha.",,
109,1,LTC Giveaway,ltcgiveaway.jpg,"Site offrant des distributions de Litecoin gratuitement. Il suffit de fournir une adresse LTC valide pour recevoir des micro-transactions régulièrement.",,
110,1,BCH Giveaway,bchgiveaway.jpg,"Plateforme distribuant gratuitement de petites quantités de Bitcoin Cash. Nécessite juste une adresse BCH valide pour participer aux distributions.",,
111,1,Receipt Hog,receipthog.jpg,"Application récompensant les utilisateurs pour la numérisation de tickets de caisse. Les reçus sont convertis en points échangeables contre de l'argent ou des cartes-cadeaux.",,
112,1,Receipt Jar,receiptjar.jpg,"Appli qui paie pour la numérisation des tickets de caisse. Accumulez des points en scannant vos reçus, puis échangez-les contre des récompenses monétaires.",,
113,1,Rakuten,rakuten.jpg,"Application d'achats en ligne offrant des remises en argent. Vous cumulez des pourcentages de remise sur vos achats auprès de centaines de marchands partenaires.",https://www.rakuten.ca/r/lecoqcafe?src=Link,
114,1,Caddle,caddle.jpg,"Application de récompenses pour les achats en magasin. Offre des remises en argent en répondant à des sondages, en scannant des reçus et en regardant des publicités.",http://ssqt.co/mQHOeQd,
115,1,CheckOut 51,checkout51.jpg,"Application de remises sur les achats au détail. Récupérez des remises en argent sur vos courses en soumettant des tickets de caisse éligibles chaque semaine.",,
116,1,TopCashBack,topcashback.jpg,"Plateforme de remboursement en cashback sur les achats en ligne. Offre des pourcentages de remise chez des milliers de détaillants partout dans le monde.",https://www.topcashback.com/ref/lecoqcafe,
117,1,Coin Miles,coinmiles.jpg,"Application transformant vos pas en récompenses. Utilise la géolocalisation pour suivre vos déplacements et les convertir en miles échangeables.",,
118,1,SwagBucks,swagbucks.jpg,"Plateforme de récompenses pour les activités en ligne. Gagnez des points en regardant des vidéos, répondant à des sondages ou en faisant des achats.",https://www.swagbucks.com/profile/lecoqcafe?rp=1,
119,1,FreeCash,freecash.jpg,"Application mobile pour gagner de l'argent en ligne. Offre des récompenses pour des tâches simples comme tester des apps ou regarder des vidéos.",https://freecash.com/r/a723ed4d4f,
120,1,Cointiply,cointiply.jpg,"Plateforme de gain de cryptomonnaie via des activités en ligne. Accumulez des pièces en jouant à des jeux, répondant à des sondages ou en visionnant des publicités.",https://cointiply.com/r/gJkroD,
121,0,Prolific,prolific.jpg,"Plateforme de rémunération intéressante. Recevez de l'argent pour participer à des recherches en répondant à des questionnaires.",,
122,0,Pine Cone,pinecone.jpg,"Communauté de consommateurs rémunérés pour tester des produits. Recevez des produits gratuits et des paiements en échange de vos opinions honnêtes.",,
123,0,Click Worker,clickworker.jpg,"Plateforme de micro-tâches rémunérées en ligne. Complétez de petits travaux de saisie de données ou de modération de contenu pour gagner de l'argent.",,
124,1,Recours du pain,,"Site internet où vous pouvez suivre les étapes de l'action collective sur le pain emballé au Québec.",https://www.reglementpainquebec.ca/fr,
125,0,HotJar Engage,hotjar.jpg,"C'est un outil qui permet de recruter, planifier et mener facilement des tests utilisateurs en visioconférence, afin de recueillir des retours réels sur un site ou un produit.",https://www.hotjar.com/engage/participant-pool/?r=g86V8,
126,0,Telus International,telus.jpg,"...",,
127,0,Amazon Mechanical Turk,amazonmt.jpg,"...",,
128,0,Google Opinion Rewards,googleor.jpg,"...",,
129,0,Retail Me Not,retailmenot.jpg,"...",,




